position (mm),PC1
113.81,1.345915181
114.01,-0.230443423
114.21,-1.729879457
114.41,-3.109986175
114.61,-3.640670769
114.81,-3.060778118
115.01,-1.894690973
115.21,-1.042645653
115.41,-1.599230966
115.61,-3.515644561
115.81,-3.886830103
116.01,-2.181765649
116.21,-0.775624148
116.41,-1.180180173
116.61,-2.292965599
116.81,-3.37552026
117.01,-3.636880756
117.21,-3.602490123
117.41,-3.058655513
117.61,-1.526608667
117.81,-1.197219229
118.01,-1.574411328
118.21,-1.023877941
118.41,0.069249906
118.61,0.361528789
118.81,0.110180926
119.01,0.618440773
119.21,0.243816661
119.41,-0.789295147
119.61,-0.696207885
119.81,-0.436574806
120.01,-0.914843254
120.21,-1.262501439
120.41,-2.233890304
120.61,-3.028588
120.81,-3.746368249
121.01,-4.021780734
121.21,-3.74076597
121.41,-2.762977697
121.61,-1.565892971
121.81,-0.559857709
122.01,0.04121054
122.21,0.314626049
122.41,0.226311173
122.61,0.221750802
122.81,0.296140832
123.01,0.121052739
123.21,0.117995963
123.41,-0.238073214
123.61,0.021893564
123.81,-0.571793499
124.01,-0.992915731
124.21,-1.257771854
124.41,-1.957341363
124.61,-2.191559119
124.81,-1.906537213
125.01,-1.917961448
125.21,-1.376655304
125.41,-0.948935675
125.61,-2.471177406
125.81,-4.055533316
126.01,-4.258433743
126.21,-3.526210824
126.41,-1.457308357
126.61,0.064322211
126.81,0.605399376
127.01,-0.858326009
127.21,-2.104117382
127.41,-2.410682626
127.61,-0.5031464
127.81,0.555438584
128.01,1.349632004
128.21,1.802514911
128.41,1.716691757
128.61,1.903707677
128.81,1.487449932
129.01,1.262737398
129.21,1.48353508
129.41,1.256348182
129.61,0.588512348
129.81,0.839039098
130.01,0.643636891
130.21,0.879719156
130.41,1.15067433
130.61,1.229550156
130.81,1.165799356
131.01,0.276409324
131.21,-0.265193607
131.41,0.203224659
131.61,1.327542615
131.81,1.52337995
132.01,1.608487025
132.21,1.915902649
132.41,1.670720211
132.61,1.508347124
132.81,1.404507474
133.01,1.524484904
133.21,1.402631218
133.41,1.342663302
133.61,1.150309672
133.81,1.065173919
134.01,1.117860879
134.21,0.413310948
134.41,-0.77594356
134.61,-2.254663369
134.81,-3.032761476
135.01,-2.022848332
135.21,0.408018558
135.41,2.733956357
135.61,2.856941847
135.81,2.180069998
136.01,2.15255636
136.21,1.969439947
136.41,1.616696874
136.61,1.337739353
136.81,0.959217354
137.01,0.668459021
137.21,0.56169307
137.41,0.983552327
137.61,2.048467425
137.81,0.622686322
138.01,-1.43815842
138.21,-1.135787408
138.41,0.544040132
138.61,1.019461246
138.81,1.07698036
139.01,1.353352694
139.21,1.623669221
139.41,1.809859346
139.61,1.879855715
139.81,2.162903489
140.01,2.651967809
140.21,2.770269281
140.41,2.498090832
140.61,2.7092624
140.81,3.018916685
141.01,2.891108528
141.21,2.501420807
141.41,2.43207759
141.61,2.715490019
141.81,3.038292428
142.01,2.96625557
142.21,3.035384389
142.41,2.559804879
142.61,1.926400728
142.81,0.857255738
