Final.depth_m,Grayscale
130.6277912802 ,120.76
130.6280221202 ,114.32
130.6282529602 ,120.6133
130.6284838002 ,147.1467
130.6287146402 ,163.6933
130.6289454802 ,162.3733
130.6291763202 ,170.48
130.6294071602 ,176.2667
130.6296380002 ,171.04
130.6298688402 ,145.4533
130.6300996802 ,108.8667
130.6303305202 ,88.3733
130.6305613602 ,79.8267
130.6307922002 ,92.8933
130.6310230402 ,123.7067
130.6312538802 ,136.7867
130.6314847202 ,122.36
130.6317155602 ,127.9733
130.6319464002 ,149.7333
130.6321772402 ,173.3467
130.6324080802 ,160.7333
130.6326389202 ,145.5467
130.6328697602 ,133.5067
130.6331006002 ,120.5467
130.6333314402 ,122.2667
130.6335622802 ,76.7333
130.6337931202 ,53.28
130.6340239602 ,72.68
130.6342548002 ,140.12
130.6344856402 ,167.6133
130.6347164802 ,109.76
130.6349473202 ,65.3467
130.6351781602 ,67.7733
130.6354090002 ,104.6133
130.6356398402 ,145.56
130.6358706802 ,138.6533
130.6361015202 ,141.9333
130.6363323602 ,157.0533
130.6365632002 ,143.9333
130.6367940402 ,141.36
130.6370248802 ,170.84
130.6372557202 ,188.1867
130.6374865602 ,193.5067
130.6377174002 ,192.9333
130.6379482402 ,176.0267
130.6381790802 ,161.0933
130.6384099202 ,172.1067
130.6386407602 ,163.3067
130.6388716002 ,108.7067
130.6391024402 ,72.0267
130.6393332802 ,70.9333
130.6395641202 ,94.5467
130.6397949602 ,102.4267
130.6400258002 ,85.5867
130.6402566402 ,74.1867
130.6404874802 ,84.28
130.6407183202 ,83.7733
130.6409491602 ,77.36
130.6411800002 ,93.0933
130.6414108402 ,112.3733
130.6416416802 ,127.5867
130.6418725202 ,127.88
130.6421033602 ,134.6933
130.6423342002 ,135.6533
130.6425650402 ,127.8933
130.6427958802 ,122.4133
130.6430267202 ,128.6933
130.6432575602 ,145.3733
130.6434884002 ,149.1867
130.6437192402 ,151.2
130.6439500802 ,139.0667
130.6441809202 ,108.56
130.6444117602 ,87.0533
130.6446426002 ,66.2933
130.6448734402 ,63.9333
130.6451042802 ,98.9333
130.6453351202 ,131.6533
130.6455659602 ,150.5467
130.6457968002 ,161.72
130.6460276402 ,161.3867
130.6462584802 ,148.68
130.6464893202 ,120.5867
130.6467201602 ,83.76
130.6469510002 ,81.36
130.6471818402 ,113.24
130.6474126802 ,139.0133
130.6476435202 ,141.3067
130.6478743602 ,144.1467
130.6481052002 ,149.4933
130.6483360402 ,160.3467
130.6485668802 ,156.1333
130.6487977202 ,142.3333
130.6490285602 ,139.7333
130.6492594002 ,136.96
130.6494902402 ,127.56
130.6497210802 ,109.8133
130.6499519202 ,105.28
130.6501827602 ,97
130.6504136002 ,85.68
130.6506444402 ,75.2267
130.6508752802 ,65.12
130.6511061202 ,69.7333
130.6513369602 ,75.8
130.6515678002 ,82.0267
130.6517986402 ,85.36
130.6520294802 ,79.3733
130.6522603202 ,70.3067
130.6524911602 ,64.8267
130.6527220002 ,75.0267
130.6529528402 ,102.16
130.6531836802 ,121.8933
130.6534145202 ,112.6133
130.6536453602 ,88.9333
130.6538762002 ,100.08
130.6541070402 ,124.7333
130.6543378802 ,113.3733
130.6545687202 ,101.2133
130.6547995602 ,110.9467
130.6550304002 ,115.7867
130.6552612402 ,126.8133
130.6554920802 ,158.9467
130.6557229202 ,171.7333
130.6559537602 ,160.0933
130.6561846002 ,154.6667
130.6564154402 ,147.5067
130.6566462802 ,136.5333
130.6568771202 ,130.6133
130.6571079602 ,125.2533
130.6573388002 ,113.7467
130.6575696402 ,124.2
130.6578004802 ,140.2267
130.6580313202 ,150.3333
130.6582621602 ,163.76
130.6584930002 ,175.0667
130.6587238402 ,168.12
130.6589546802 ,161.8933
130.6591855202 ,151.7867
130.6594163602 ,140.1867
130.6596472002 ,123.2267
130.6598780402 ,122.2
130.6601088802 ,136.9733
130.6603397202 ,145
130.6605705602 ,151.8933
130.6608014002 ,164.56
130.6610322402 ,175.8267
130.6612630802 ,170.56
130.6614939202 ,170.08
130.6617247602 ,167.5333
130.6619556002 ,151.7733
130.6621864402 ,126.48
130.6624172802 ,116.4133
130.6626481202 ,122.9733
130.6628789602 ,113.04
130.6631098002 ,104.3467
130.6633406402 ,100.0133
130.6635714802 ,100.4
130.6638023202 ,96.1867
130.6640331602 ,83.28
130.6642640002 ,77.0267
130.6644948402 ,85.68
130.6647256802 ,88.2667
130.6649565202 ,84.5867
130.6651873602 ,81.88
130.6654182002 ,82.88
130.6656490402 ,85.0533
130.6658798802 ,88
130.6661107202 ,87.6667
130.6663415602 ,84.2667
130.6665724002 ,81.92
130.6668032402 ,79.3867
130.6670340802 ,85.64
130.6672649202 ,93.7467
130.6674957602 ,96.9733
130.6677266002 ,92.68
130.6679574402 ,82.6267
130.6681882802 ,81.2933
130.6684191202 ,81.16
130.6686499602 ,72.0533
130.6688808002 ,67.1867
130.6691116402 ,67.9733
130.6693424802 ,72.5733
130.6695733202 ,74.5733
130.6698041602 ,76.96
130.6700350002 ,76.12
130.6702658402 ,78.2267
130.6704966802 ,76.6
130.6707275202 ,70.3867
130.6709583602 ,68.92
130.6711892002 ,70.9333
130.6714200402 ,72.8267
130.6716508802 ,68.68
130.6718817202 ,72.9333
130.6721125602 ,89.2
130.6723434002 ,99.3467
130.6725742402 ,109.24
130.6728050802 ,116.2933
130.6730359202 ,114.04
130.6732667602 ,111.44
130.6734976002 ,120.68
130.6737284402 ,127.3467
130.6739592802 ,126.7867
130.6741901202 ,137.9067
130.6744209602 ,146.72
130.6746518002 ,147.9333
130.6748826402 ,138.28
130.6751134802 ,119.04
130.6753443202 ,104.7733
130.6755751602 ,97.36
130.6758060002 ,118.2933
130.6760368402 ,137.8933
130.6762676802 ,144.12
130.6764985202 ,145.8133
130.6767293602 ,128.8
130.6769602002 ,107.0533
130.6771910402 ,97.3067
130.6774218802 ,97.68
130.6776527202 ,103.64
130.6778835602 ,109.7733
130.6781144002 ,121.2667
130.6783452402 ,134.8267
130.6785760802 ,133.72
130.6788069202 ,117.7867
130.6790377602 ,113.5333
130.6792686002 ,115.8933
130.6794994402 ,109.6133
130.6797302802 ,97.28
130.6799611202 ,102.04
130.6801919602 ,108.8267
130.6804228002 ,108.3467
130.6806536402 ,112.4667
130.6808844802 ,116.1067
130.6811153202 ,112.04
130.6813461602 ,106.7333
130.6815770002 ,100.16
130.6818078402 ,95.6133
130.6820386802 ,91.3867
130.6822695202 ,88.2933
130.6825003602 ,85.1867
130.6827312002 ,92.36
130.6829620402 ,93.4267
130.6831928802 ,81.4667
130.6834237202 ,80.8933
130.6836545602 ,86.4533
130.6838854002 ,87.3733
130.6841162402 ,91.8267
130.6843470802 ,90.6667
130.6845779202 ,89.92
130.6848087602 ,97.9467
130.6850396002 ,106.4933
130.6852704402 ,112.8667
130.6855012802 ,119.7733
130.6857321202 ,121.76
130.6859629602 ,124.9733
130.6861938002 ,139.44
130.6864246402 ,150.6
130.6866554802 ,146.4933
130.6868863202 ,134.1867
130.6871171602 ,131.44
130.6873480002 ,143.84
130.6875788402 ,136.32
130.6878096802 ,134.88
130.6880405202 ,143.12
130.6882713602 ,155.4933
130.6885022002 ,157.3467
130.6887330402 ,147.56
130.6889638802 ,138.52
130.6891947202 ,123.96
130.6894255602 ,105.04
130.6896564002 ,93.8267
130.6898872402 ,94.6667
130.6901180802 ,103.44
130.6903489202 ,122.4533
130.6905797602 ,135.24
130.6908106002 ,140.84
130.6910414402 ,157.2933
130.6912722802 ,176.84
130.6915031202 ,184.0533
130.6917339602 ,173.16
130.6919648002 ,155.7467
130.6921956402 ,155.0533
130.6924264802 ,162.12
130.6926573202 ,160.32
130.6928881602 ,148.56
130.6931190002 ,139.2133
130.6933498402 ,135.8533
130.6935806802 ,136.4133
130.6938115202 ,145.44
130.6940423602 ,155.0133
130.6942732002 ,163.4
130.6945040402 ,166.4
130.6947348802 ,156.36
130.6949657202 ,149.8
130.6951965602 ,165.5867
130.6954274002 ,172.68
130.6956582402 ,165.3733
130.6958890802 ,167.6667
130.6961199202 ,165.4667
130.6963507602 ,149.0933
130.6965816002 ,147.08
130.6968124402 ,153.7467
130.6970432802 ,152.2267
130.6972741202 ,143.5333
130.6975049602 ,142.08
