"Final.depth(m)","grascale"
133.19450124022,96.64
133.19473208022,100.8933
133.19496292022,95.7467
133.19519376022,88.0133
133.19542460022,88.3867
133.19565544022,134.0533
133.19588628022,153.6
133.19611712022,130.2133
133.19634796022,190.08
133.19657880022,202.7733
133.19680964022,187.2933
133.19704048022,157.7733
133.19727132022,107.6533
133.19750216022,75.32
133.19773300022,81.4667
133.19796384022,88.2267
133.19819468022,104.04
133.19842552022,119.2933
133.19865636022,117.1333
133.19888720022,89.5733
133.19911804022,95.9733
133.19934888022,81.2667
133.19957972022,60.0933
133.19981056022,125.3333
133.20004140022,174.7333
133.20027224022,212.5333
133.20050308022,214.1733
133.20073392022,187.1867
133.20096476022,157.2267
133.20119560022,145.2
133.20142644022,126.4667
133.20165728022,163.36
133.20188812022,89
133.20211896022,53.24
133.20234980022,59.0933
133.20258064022,67.7467
133.20281148022,105.4267
133.20304232022,139.4
133.20327316022,136.8533
133.20350400022,171.5733
133.20373484022,156.0533
133.20396568022,163.8667
133.20419652022,174.2933
133.20442736022,171.4133
133.20465820022,172.0533
133.20488904022,154.8933
133.20511988022,113.3867
133.20535072022,95.76
133.20558156022,105.6533
133.20581240022,87.52
133.20604324022,86.2
133.20627408022,94.1067
133.20650492022,68.8933
133.20673576022,84.3067
133.20696660022,133.2267
133.20719744022,104.7333
133.20742828022,108.6133
133.20765912022,143.8933
133.20788996022,101.4267
133.20812080022,69.72
133.20835164022,64.9467
133.20858248022,72.6
133.20881332022,94.0933
133.20904416022,94.2667
133.20927500022,84.9067
133.20950584022,92.28
133.20973668022,108
133.20996752022,113.2133
133.21019836022,152.8533
133.21042920022,174.7867
133.21066004022,124.96
133.21089088022,71.1867
133.21112172022,63.0267
133.21135256022,74.8267
133.21158340022,107.1867
133.21181424022,131.7067
133.21204508022,126.6533
133.21227592022,180.28
133.21250676022,196
133.21273760022,181.96
133.21296844022,148.7333
133.21319928022,65.6667
133.21343012022,92.5733
133.21366096022,128.68
133.21389180022,151.2533
133.21412264022,195.3333
133.21435348022,156.0267
133.21458432022,67.8933
133.21481516022,73.88
133.21504600022,110.2533
133.21527684022,109.5733
133.21550768022,122.44
133.21573852022,178.6933
133.21596936022,206.2933
133.21620020022,145
133.21643104022,62.8
133.21666188022,96.1067
133.21689272022,165.2
133.21712356022,143.8933
133.21735440022,77.4667
133.21758524022,75.5467
133.21781608022,106.5867
133.21804692022,127.2533
133.21827776022,158.1067
133.21850860022,174.96
133.21873944022,148.1067
133.21897028022,100.56
133.21920112022,97.4
133.21943196022,131.3733
133.21966280022,155.9467
133.21989364022,112.3467
133.22012448022,54.0933
133.22035532022,74.4
133.22058616022,152.4133
133.22081700022,204.76
133.22104784022,164.64
133.22127868022,72.68
133.22150952022,69.4133
133.22174036022,112.2667
133.22197120022,140.88
133.22220204022,147.68
133.22243288022,147.16
133.22266372022,132.9467
133.22289456022,76.7467
133.22312540022,136.8133
133.22335624022,224.5467
133.22358708022,195.32
133.22381792022,141.12
133.22404876022,178.0267
133.22427960022,184.4933
133.22451044022,195.28
133.22474128022,208.6267
133.22497212022,201.7867
133.22520296022,139.1733
133.22543380022,121.72
133.22566464022,206.6133
133.22589548022,186.9467
133.22612632022,158.5867
133.22635716022,110.1733
133.22658800022,55
133.22681884022,119.2533
133.22704968022,143.7733
133.22728052022,144.8533
133.22751136022,136.68
133.22774220022,72.24
133.22797304022,75.2
133.22820388022,83.88
133.22843472022,84.4933
133.22866556022,167.16
133.22889640022,202.08
133.22912724022,186.5733
133.22935808022,168.8133
133.22958892022,206.6533
133.22981976022,222.2667
133.23005060022,154.1067
133.23028144022,82.4533
133.23051228022,99.8667
133.23074312022,80.0933
133.23097396022,94.44
133.23120480022,101.44
133.23143564022,88.8267
133.23166648022,82.8667
133.23189732022,75.6533
133.23212816022,56.76
133.23235900022,59.52
133.23258984022,153.76
133.23282068022,197.44
133.23305152022,203.5867
133.23328236022,203.0133
133.23351320022,202.5467
133.23374404022,197.44
133.23397488022,159.2533
133.23420572022,82.52
133.23443656022,54.32
133.23466740022,57.1867
133.23489824022,53.8533
133.23512908022,53.2133
133.23535992022,59.9467
133.23559076022,58.2267
133.23582160022,53.84
133.23605244022,59.6267
133.23628328022,62.56
133.23651412022,60.2133
133.23674496022,56.6667
133.23697580022,56.8267
133.23720664022,58.6933
133.23743748022,63.52
133.23766832022,65.76
133.23789916022,65.6267
133.23813000022,72.8267
133.23836084022,73.6667
133.23859168022,62.92
133.23882252022,68.76
133.23905336022,88.24
133.23928420022,101.4133
133.23951504022,97.64
133.23974588022,94.1467
133.23997672022,90.1867
133.24020756022,116.2667
133.24043840022,163.6
133.24066924022,183.4933
133.24090008022,185.0267
133.24113092022,139.6933
133.24136176022,94.5867
133.24159260022,130.5733
133.24182344022,193.2667
133.24205428022,183.6133
133.24228512022,129.3333
133.24251596022,86
133.24274680022,95.1067
133.24297764022,122.2533
133.24320848022,137.8933
133.24343932022,118.9067
133.24367016022,95.52
133.24390100022,112.88
133.24413184022,157.2667
133.24436268022,196.3333
133.24459352022,200.5733
133.24482436022,193.44
133.24505520022,191.56
133.24528604022,191.0933
133.24551688022,193.1333
133.24574772022,186.1333
133.24597856022,188.84
133.24620940022,195.7467
133.24644024022,201.48
133.24667108022,200.2267
133.24690192022,191.96
133.24713276022,191.32
133.24736360022,196.72
133.24759444022,200.8133
133.24782528022,205.96
133.24805612022,214.9733
133.24828696022,211.68
133.24851780022,149.8267
133.24874864022,77.7733
133.24897948022,94.6933
133.24921032022,106.2533
133.24944116022,102.12
133.24967200022,154.2133
133.24990284022,185.16
133.25013368022,111.2267
133.25036452022,58.8533
133.25059536022,147.6267
133.25082620022,200.7467
133.25105704022,147.5733
133.25128788022,88.9067
133.25151872022,103.2133
133.25174956022,108.0133
133.25198040022,70.6933
133.25221124022,81.6667
133.25244208022,141.6
133.25267292022,145.0667
133.25290376022,139.96
133.25313460022,169.2933
133.25336544022,183.6133
133.25359628022,159.32
133.25382712022,118.2
133.25405796022,75.52
133.25428880022,64.36
133.25451964022,75.44
133.25475048022,75.3067
133.25498132022,76.7867
133.25521216022,71.04
133.25544300022,64.56
133.25567384022,62.0133
133.25590468022,65.5333
133.25613552022,96.84
133.25636636022,119.52
133.25659720022,116.32
133.25682804022,102.3867
133.25705888022,111.92
133.25728972022,117.5733
133.25752056022,92.52
133.25775140022,85.9067
133.25798224022,124.2533
133.25821308022,157.2533
133.25844392022,132.5333
133.25867476022,132.8267
133.25890560022,153.3867
133.25913644022,171.0933
133.25936728022,169.2
133.25959812022,151.3333
133.25982896022,124.3333
133.26005980022,103.2933
133.26029064022,95.12
133.26052148022,89.5067
133.26075232022,117.52
133.26098316022,163.3333
133.26121400022,148.8667
133.26144484022,117.1067
133.26167568022,158.9733
133.26190652022,192.68
133.26213736022,179.5733
133.26236820022,148.0667
133.26259904022,146.44
133.26282988022,172.6667
133.26306072022,188.6533
133.26329156022,181.6
133.26352240022,184.2133
133.26375324022,198.68
133.26398408022,205.88
133.26421492022,209.68
133.26444576022,203.2933
133.26467660022,198.3333
133.26490744022,200.7867
133.26513828022,199.9733
133.26536912022,202.7733
133.26559996022,207.4933
133.26583080022,208.1867
133.26606164022,208.4267
133.26629248022,208.0933
133.26652332022,199.5467
133.26675416022,177.08
133.26698500022,152.56
133.26721584022,102.7333
133.26744668022,98.1733
133.26767752022,162.5467
133.26790836022,169.72
133.26813920022,92.96
133.26837004022,80.3867
133.26860088022,130.1067
